ChatId,PersonType,PersonId,CreatedAt,PlainText,isPrivate
UC-2026-0021,manager,M-0021,1748843297214,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0021,user,U-0021,1748844775903,빠른 확인 감사합니다,False
UC-2026-0022,user,U-0022,1750844559784,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0022,manager,M-0022,1750844719806,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0022,user,U-0022,1750846959784,빠른 확인 감사합니다,False
UC-2026-0023,user,U-0023,1754279378694,송장번호가 안 떠요,False
UC-2026-0023,manager,M-0023,1754279963602,출고 당일 저녁에 송장이 등록됩니다. 등록되면 알림톡으로 보내드립니다.,False
UC-2026-0024,user,U-0024,1754558242484,배송지를 잘못 입력했어요,False
UC-2026-0024,manager,M-0024,1754558771358,송장 출력 전이라 변경 가능합니다. 주문번호와 새 주소를 남겨 주세요.,False
UC-2026-0025,user,U-0025,1749447856893,어제 주문했는데 언제 출고되나요?,False
UC-2026-0025,manager,M-0025,1749449054458,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0026,user,U-0026,1753761634672,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0026,manager,M-0026,1753762579585,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 19,900원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0027,user,U-0027,1752047680078,제주도인데 배송되나요?,False
UC-2026-0027,manager,M-0027,1752048263554,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0028,user,U-0028,1748742101965,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0028,manager,M-0028,1748742471660,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0029,user,U-0029,1752466950097,송장번호가 안 떠요,False
UC-2026-0029,manager,M-0029,1752468658293,출고 당일 저녁에 송장이 등록됩니다. 등록되면 알림톡으로 보내드립니다.,False
UC-2026-0030,user,U-0030,1754191878098,배송지를 잘못 입력했어요,False
UC-2026-0030,manager,M-0030,1754193199042,송장 출력 전이라 변경 가능합니다. 주문번호와 새 주소를 남겨 주세요.,False
UC-2026-0030,user,U-0030,1754194278098,빠른 확인 감사합니다,False
UC-2026-0031,user,U-0031,1753087074147,어제 주문했는데 언제 출고되나요?,False
UC-2026-0031,manager,M-0031,1753088408765,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0031,user,U-0031,1753089474147,빠른 확인 감사합니다,False
UC-2026-0032,user,U-0032,1748246242620,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0032,manager,M-0032,1748246627556,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 27,800원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0032,user,U-0032,1748248642620,빠른 확인 감사합니다,False
UC-2026-0033,user,U-0033,1749367332565,제주도인데 배송되나요?,False
UC-2026-0033,manager,M-0033,1749368997814,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0033,user,U-0033,1749369732565,네 알겠습니다,False
UC-2026-0034,user,U-0034,1754993703110,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0034,manager,M-0034,1754995316995,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0035,user,U-0035,1747806984785,색이 화면과 달라서 반품하고 싶어요,False
UC-2026-0035,manager,M-0035,1747807255391,"수령 후 7일 이내라 접수 가능합니다. 단순변심 반품은 편도 배송비 3,000원이 부과됩니다. 마이페이지에서 접수해 주세요.",False
UC-2026-0036,user,U-0036,1748658436446,반품 배송비 얼마예요?,False
UC-2026-0036,manager,M-0036,1748659103166,"단순변심 반품은 편도 3,000원 고객 부담입니다. 불량이면 저희가 부담합니다.",False
UC-2026-0037,user,U-0037,1749194165891,받은 지 열흘 됐는데 반품 되나요?,False
UC-2026-0037,manager,M-0037,1749195298607,단순변심 반품 기한은 수령 후 7일까지라 기한이 지났습니다. 양해 부탁드립니다.,False
UC-2026-0038,user,U-0038,1749979281932,자수 에코백 주문 취소하고 싶어요,False
UC-2026-0038,manager,M-0038,1749980565625,주문제작 상품은 제작 착수 후 취소가 불가합니다. 착수 전이면 바로 취소해 드릴게요. 주문번호 알려 주세요.,False
UC-2026-0039,user,U-0039,1753776361201,불량인 것 같아요. 박음질이 터져 있어요,False
UC-2026-0039,manager,M-0039,1753777876894,불편을 드려 죄송합니다. 불량 건은 배송비 없이 교환이나 반품 처리해 드립니다. 사진과 주문번호를 남겨 주세요.,False
UC-2026-0039,user,U-0039,1753778761201,접수했어요. 확인 부탁드려요,False
UC-2026-0039,manager,M-0039,1753779361201,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0040,user,U-0040,1748056011577,교환하면 배송비 또 내야 하나요?,False
UC-2026-0040,manager,M-0040,1748056276745,"옵션 교환은 왕복 6,000원이 부과됩니다. 반품 후 재주문이 더 유리할 수 있어요.",False
UC-2026-0041,user,U-0041,1754548982671,색이 화면과 달라서 반품하고 싶어요,False
UC-2026-0041,manager,M-0041,1754550766436,"수령 후 7일 이내라 접수 가능합니다. 단순변심 반품은 편도 배송비 3,000원이 부과됩니다. 마이페이지에서 접수해 주세요.",False
UC-2026-0041,user,U-0041,1754551382671,접수했어요. 확인 부탁드려요,False
UC-2026-0041,manager,M-0041,1754551982671,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0042,user,U-0042,1755166511459,반품 배송비 얼마예요?,False
UC-2026-0042,manager,M-0042,1755168246100,"단순변심 반품은 편도 3,000원 고객 부담입니다. 불량이면 저희가 부담합니다.",False
UC-2026-0043,user,U-0043,1753499694052,받은 지 열흘 됐는데 반품 되나요?,False
UC-2026-0043,manager,M-0043,1753500183176,단순변심 반품 기한은 수령 후 7일까지라 기한이 지났습니다. 양해 부탁드립니다.,False
UC-2026-0043,user,U-0043,1753502094052,네 감사합니다,False
UC-2026-0044,user,U-0044,1747714938726,자수 에코백 주문 취소하고 싶어요,False
UC-2026-0044,manager,M-0044,1747715833122,주문제작 상품은 제작 착수 후 취소가 불가합니다. 착수 전이면 바로 취소해 드릴게요. 주문번호 알려 주세요.,False
UC-2026-0045,user,U-0045,1752636464908,불량인 것 같아요. 박음질이 터져 있어요,False
UC-2026-0045,manager,M-0045,1752637368934,불편을 드려 죄송합니다. 불량 건은 배송비 없이 교환이나 반품 처리해 드립니다. 사진과 주문번호를 남겨 주세요.,False
UC-2026-0046,user,U-0046,1749031321099,교환하면 배송비 또 내야 하나요?,False
UC-2026-0046,manager,M-0046,1749032524547,"이번 건은 저희가 배송비를 부담해서 처리해 드릴게요. 다음 구매 시에는 반품 배송비 3,000원이 부과되는 점 양해 부탁드립니다.",False
UC-2026-0046,user,U-0046,1749033721099,접수했어요. 확인 부탁드려요,False
UC-2026-0046,manager,M-0046,1749034321099,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0047,user,U-0047,1750929543853,색이 화면과 달라서 반품하고 싶어요,False
UC-2026-0047,manager,M-0047,1750929811874,"수령 후 7일 이내라 접수 가능합니다. 단순변심 반품은 편도 배송비 3,000원이 부과됩니다. 마이페이지에서 접수해 주세요.",False
UC-2026-0048,user,U-0048,1752550165603,반품 배송비 얼마예요?,False
UC-2026-0048,manager,M-0048,1752550958673,"단순변심 반품은 편도 3,000원 고객 부담입니다. 불량이면 저희가 부담합니다.",False
UC-2026-0048,user,U-0048,1752552565603,네 감사합니다,False
UC-2026-0049,user,U-0049,1755330279614,받은 지 열흘 됐는데 반품 되나요?,False
UC-2026-0049,manager,M-0049,1755330741556,단순변심 반품 기한은 수령 후 7일까지라 기한이 지났습니다. 양해 부탁드립니다.,False
UC-2026-0049,user,U-0049,1755332679614,네 감사합니다,False
UC-2026-0050,user,U-0050,1749377278068,자수 에코백 주문 취소하고 싶어요,False
UC-2026-0050,manager,M-0050,1749377717928,주문제작 상품은 제작 착수 후 취소가 불가합니다. 착수 전이면 바로 취소해 드릴게요. 주문번호 알려 주세요.,False
UC-2026-0050,user,U-0050,1749379678068,네 감사합니다,False
UC-2026-0051,user,U-0051,1748661043622,불량인 것 같아요. 박음질이 터져 있어요,False
UC-2026-0051,manager,M-0051,1748661565561,불편을 드려 죄송합니다. 불량 건은 배송비 없이 교환이나 반품 처리해 드립니다. 사진과 주문번호를 남겨 주세요.,False
UC-2026-0051,user,U-0051,1748663443622,접수했어요. 확인 부탁드려요,False
UC-2026-0051,manager,M-0051,1748664043622,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0052,user,U-0052,1751088635826,교환하면 배송비 또 내야 하나요?,False
UC-2026-0052,manager,M-0052,1751089567097,"옵션 교환은 왕복 6,000원이 부과됩니다. 반품 후 재주문이 더 유리할 수 있어요.",False
UC-2026-0053,user,U-0053,1751855598120,색이 화면과 달라서 반품하고 싶어요,False
UC-2026-0053,manager,M-0053,1751856994342,"수령 후 7일 이내라 접수 가능합니다. 단순변심 반품은 편도 배송비 3,000원이 부과됩니다. 마이페이지에서 접수해 주세요.",False
UC-2026-0053,user,U-0053,1751857998120,접수했어요. 확인 부탁드려요,False
UC-2026-0053,manager,M-0053,1751858598120,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0054,user,U-0054,1752562321119,반품 배송비 얼마예요?,False
UC-2026-0054,manager,M-0054,1752563788151,"이번 건은 저희가 배송비를 부담해서 처리해 드릴게요. 다음 구매 시에는 반품 배송비 3,000원이 부과되는 점 양해 부탁드립니다.",False
UC-2026-0054,user,U-0054,1752564721119,네 감사합니다,False
UC-2026-0055,user,U-0055,1755160904368,받은 지 열흘 됐는데 반품 되나요?,False
UC-2026-0055,manager,M-0055,1755162147072,단순변심 반품 기한은 수령 후 7일까지라 기한이 지났습니다. 양해 부탁드립니다.,False
UC-2026-0055,user,U-0055,1755163304368,접수했어요. 확인 부탁드려요,False
UC-2026-0055,manager,M-0055,1755163904368,접수 확인했습니다. 회수 기사님이 1~2일 내 방문합니다.,False
UC-2026-0056,user,U-0056,1752397072736,자수 에코백 주문 취소하고 싶어요,False
UC-2026-0056,manager,M-0056,1752397648740,주문제작 상품은 제작 착수 후 취소가 불가합니다. 착수 전이면 바로 취소해 드릴게요. 주문번호 알려 주세요.,False
UC-2026-0056,user,U-0056,1752399472736,네 감사합니다,False
UC-2026-0057,user,U-0057,1749953077938,불량인 것 같아요. 박음질이 터져 있어요,False
UC-2026-0057,manager,M-0057,1749954624221,불편을 드려 죄송합니다. 불량 건은 배송비 없이 교환이나 반품 처리해 드립니다. 사진과 주문번호를 남겨 주세요.,False
UC-2026-0058,user,U-0058,1754122898040,교환하면 배송비 또 내야 하나요?,False
UC-2026-0058,manager,M-0058,1754123899960,"옵션 교환은 왕복 6,000원이 부과됩니다. 반품 후 재주문이 더 유리할 수 있어요.",False
UC-2026-0059,user,U-0059,1754821368827,색이 화면과 달라서 반품하고 싶어요,False
UC-2026-0059,manager,M-0059,1754822044406,"수령 후 7일 이내라 접수 가능합니다. 단순변심 반품은 편도 배송비 3,000원이 부과됩니다. 마이페이지에서 접수해 주세요.",False
UC-2026-0060,user,U-0060,1749893784915,반품 배송비 얼마예요?,False
UC-2026-0060,manager,M-0060,1749894857725,"단순변심 반품은 편도 3,000원 고객 부담입니다. 불량이면 저희가 부담합니다.",False
UC-2026-0061,user,U-0061,1753413885086,받은 지 열흘 됐는데 반품 되나요?,False
UC-2026-0061,manager,M-0061,1753415072462,단순변심 반품 기한은 수령 후 7일까지라 기한이 지났습니다. 양해 부탁드립니다.,False
UC-2026-0061,user,U-0061,1753416285086,네 감사합니다,False
UC-2026-0062,user,U-0062,1751786902557,자수 에코백 주문 취소하고 싶어요,False
UC-2026-0062,manager,M-0062,1751788611200,주문제작 상품은 제작 착수 후 취소가 불가합니다. 착수 전이면 바로 취소해 드릴게요. 주문번호 알려 주세요.,False
UC-2026-0062,user,U-0062,1751789302557,네 감사합니다,False
UC-2026-0063,user,U-0063,1750738302374,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0063,manager,M-0063,1750739277443,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0063,user,U-0063,1750740702374,알림 신청했어요,False
UC-2026-0064,user,U-0064,1753599075819,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0064,manager,M-0064,1753600795766,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0064,user,U-0064,1753601475819,알림 신청했어요,False
UC-2026-0065,user,U-0065,1748420932651,올리브 색 재고 있나요?,False
UC-2026-0065,manager,M-0065,1748421867256,"네, 현재 구매 가능합니다.",False
UC-2026-0065,user,U-0065,1748423332651,알림 신청했어요,False
UC-2026-0066,user,U-0066,1748142455916,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0066,manager,M-0066,1748143080694,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0066,user,U-0066,1748144855916,알림 신청했어요,False
UC-2026-0067,user,U-0067,1747643206933,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0067,manager,M-0067,1747644091293,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0067,user,U-0067,1747645606933,알림 신청했어요,False
UC-2026-0068,user,U-0068,1749285951754,올리브 색 재고 있나요?,False
UC-2026-0068,manager,M-0068,1749286603190,"네, 현재 구매 가능합니다.",False
UC-2026-0069,user,U-0069,1747548311030,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0069,manager,M-0069,1747549457727,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0069,user,U-0069,1747550711030,알림 신청했어요,False
UC-2026-0070,user,U-0070,1750663173246,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0070,manager,M-0070,1750664173206,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0070,user,U-0070,1750665573246,알림 신청했어요,False
UC-2026-0071,user,U-0071,1749792826897,올리브 색 재고 있나요?,False
UC-2026-0071,manager,M-0071,1749793990785,"네, 현재 구매 가능합니다.",False
UC-2026-0071,user,U-0071,1749795226897,알림 신청했어요,False
UC-2026-0072,user,U-0072,1747735042106,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0072,manager,M-0072,1747736327554,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0073,user,U-0073,1751604778209,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0073,manager,M-0073,1751606212679,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0074,user,U-0074,1750236138940,올리브 색 재고 있나요?,False
UC-2026-0074,manager,M-0074,1750237241928,"네, 현재 구매 가능합니다.",False
UC-2026-0074,user,U-0074,1750238538940,알림 신청했어요,False
UC-2026-0075,user,U-0075,1747980251250,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0075,manager,M-0075,1747981470760,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0076,user,U-0076,1755227583157,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0076,manager,M-0076,1755228409771,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0077,user,U-0077,1754884747789,올리브 색 재고 있나요?,False
UC-2026-0077,manager,M-0077,1754885337478,"네, 현재 구매 가능합니다.",False
UC-2026-0077,user,U-0077,1754887147789,알림 신청했어요,False
UC-2026-0078,user,U-0078,1754714296079,크로스 에코백 재입고 언제 되나요?,False
UC-2026-0078,manager,M-0078,1754715280326,재입고 일정은 아직 확정되지 않았습니다. 상품 페이지에서 재입고 알림을 신청해 주세요.,False
UC-2026-0079,user,U-0079,1750826377261,네이비 색상 품절인데 다시 나오나요?,False
UC-2026-0079,manager,M-0079,1750827550481,확정된 일정은 안내드리기 어렵습니다. 재입고 알림을 신청해 주시면 가장 빠르게 받아보실 수 있어요.,False
UC-2026-0079,user,U-0079,1750828777261,알림 신청했어요,False
UC-2026-0080,user,U-0080,1754296239360,올리브 색 재고 있나요?,False
UC-2026-0080,manager,M-0080,1754297262620,"네, 현재 구매 가능합니다.",False
UC-2026-0081,user,U-0081,1748146940769,첫구매 쿠폰이 적용이 안 돼요,False
UC-2026-0081,manager,M-0081,1748148737808,"첫 구매 쿠폰은 30,000원 이상 주문에만 적용됩니다. 현재 장바구니 금액을 확인해 주세요.",False
UC-2026-0081,user,U-0081,1748149340769,아 그렇군요,False
UC-2026-0082,user,U-0082,1750152781167,쿠폰 두 개 같이 쓸 수 있나요?,False
UC-2026-0082,manager,M-0082,1750153093010,쿠폰 중복 사용은 불가합니다. 할인율이 높은 쿠폰 하나만 적용해 주세요.,False
UC-2026-0082,user,U-0082,1750155181167,아 그렇군요,False
UC-2026-0083,user,U-0083,1752374149723,쿠폰 유효기간 지났는데 다시 주실 수 있나요?,False
UC-2026-0083,manager,M-0083,1752375669165,유효기간이 지난 쿠폰은 재발급이 어렵습니다. 진행 중인 다른 혜택을 확인해 주세요.,False
UC-2026-0084,user,U-0084,1753090536635,첫구매 쿠폰이 적용이 안 돼요,False
UC-2026-0084,manager,M-0084,1753090873507,"첫 구매 쿠폰은 30,000원 이상 주문에만 적용됩니다. 현재 장바구니 금액을 확인해 주세요.",False
UC-2026-0084,user,U-0084,1753092936635,아 그렇군요,False
UC-2026-0085,user,U-0085,1748917612906,쿠폰 두 개 같이 쓸 수 있나요?,False
UC-2026-0085,manager,M-0085,1748917955499,쿠폰 중복 사용은 불가합니다. 할인율이 높은 쿠폰 하나만 적용해 주세요.,False
UC-2026-0086,user,U-0086,1754973456025,쿠폰 유효기간 지났는데 다시 주실 수 있나요?,False
UC-2026-0086,manager,M-0086,1754975170606,유효기간이 지난 쿠폰은 재발급이 어렵습니다. 진행 중인 다른 혜택을 확인해 주세요.,False
UC-2026-0087,user,U-0087,1750059726957,첫구매 쿠폰이 적용이 안 돼요,False
UC-2026-0087,manager,M-0087,1750060018432,"첫 구매 쿠폰은 30,000원 이상 주문에만 적용됩니다. 현재 장바구니 금액을 확인해 주세요.",False
UC-2026-0087,user,U-0087,1750062126957,아 그렇군요,False
UC-2026-0088,user,U-0088,1755151560192,쿠폰 두 개 같이 쓸 수 있나요?,False
UC-2026-0088,manager,M-0088,1755152779530,쿠폰 중복 사용은 불가합니다. 할인율이 높은 쿠폰 하나만 적용해 주세요.,False
UC-2026-0089,user,U-0089,1753428446985,쿠폰 유효기간 지났는데 다시 주실 수 있나요?,False
UC-2026-0089,manager,M-0089,1753428636142,유효기간이 지난 쿠폰은 재발급이 어렵습니다. 진행 중인 다른 혜택을 확인해 주세요.,False
UC-2026-0090,user,U-0090,1747822430143,첫구매 쿠폰이 적용이 안 돼요,False
UC-2026-0090,manager,M-0090,1747823274602,"첫 구매 쿠폰은 30,000원 이상 주문에만 적용됩니다. 현재 장바구니 금액을 확인해 주세요.",False
UC-2026-0091,user,U-0091,1749022806117,쿠폰 두 개 같이 쓸 수 있나요?,False
UC-2026-0091,manager,M-0091,1749024326814,쿠폰 중복 사용은 불가합니다. 할인율이 높은 쿠폰 하나만 적용해 주세요.,False
UC-2026-0092,user,U-0092,1755064569461,쿠폰 유효기간 지났는데 다시 주실 수 있나요?,False
UC-2026-0092,manager,M-0092,1755064941269,유효기간이 지난 쿠폰은 재발급이 어렵습니다. 진행 중인 다른 혜택을 확인해 주세요.,False
UC-2026-0092,user,U-0092,1755066969461,아 그렇군요,False
UC-2026-0093,user,U-0093,1753413952119,첫구매 쿠폰이 적용이 안 돼요,False
UC-2026-0093,manager,M-0093,1753414966154,"첫 구매 쿠폰은 30,000원 이상 주문에만 적용됩니다. 현재 장바구니 금액을 확인해 주세요.",False
UC-2026-0093,user,U-0093,1753416352119,아 그렇군요,False
UC-2026-0094,user,U-0094,1754192238891,쿠폰 두 개 같이 쓸 수 있나요?,False
UC-2026-0094,manager,M-0094,1754193278150,쿠폰 중복 사용은 불가합니다. 할인율이 높은 쿠폰 하나만 적용해 주세요.,False
UC-2026-0095,user,U-0095,1754037135367,에코백 세탁 어떻게 하나요?,False
UC-2026-0095,manager,M-0095,1754037974430,찬물에 단독 손세탁을 권장합니다. 건조기는 피해 주세요.,False
UC-2026-0096,user,U-0096,1753677408503,라지 에코백에 노트북 들어가나요?,False
UC-2026-0096,manager,M-0096,1753678628326,"네, 15인치 노트북까지 수납 가능합니다.",False
UC-2026-0097,user,U-0097,1753494799086,자수는 몇 글자까지 되나요?,False
UC-2026-0097,manager,M-0097,1753495046819,영문 이니셜 3자까지 가능합니다.,False
UC-2026-0097,user,U-0097,1753497199086,감사합니다,False
UC-2026-0098,user,U-0098,1753599978829,에코백 세탁 어떻게 하나요?,False
UC-2026-0098,manager,M-0098,1753600860760,찬물에 단독 손세탁을 권장합니다. 건조기는 피해 주세요.,False
UC-2026-0099,user,U-0099,1747634505907,라지 에코백에 노트북 들어가나요?,False
UC-2026-0099,manager,M-0099,1747635269087,"네, 15인치 노트북까지 수납 가능합니다.",False
UC-2026-0099,user,U-0099,1747636905907,감사합니다,False
UC-2026-0100,user,U-0100,1753245464557,자수는 몇 글자까지 되나요?,False
UC-2026-0100,manager,M-0100,1753246733152,영문 이니셜 3자까지 가능합니다.,False
UC-2026-0101,user,U-0101,1751449773517,에코백 세탁 어떻게 하나요?,False
